month,address,is_warning,reason
5,Maustetehtaankatu 5,0,0905
5,Maustetehtaankatu 3,0,0905
5,Gustav Pauligin katu 6,0,0905
5,Gustav Pauligin katu 8,0,0905
5,Gustav Pauligin katu 8,1,0905
5,Gustav Pauligin katu 7,0,0905
5,Gustav Pauligin katu 7,0,2301
5,Gustav Pauligin katu 7,0,0905
5,Gustav Pauligin katu 7,0,0905
5,Bertha Pauligin katu 6,0,0401
5,Bertha Pauligin katu 6,0,0401
5,Bertha Pauligin katu 6,0,0401
5,Bertha Pauligin katu 6,0,0401
5,Bertha Pauligin katu 2,0,0401
5,Bertha Pauligin katu 2,0,0401
5,Sokeritori (tori tai aukio) 0,0,1501
5,Kahvikuja 3,1,1501
5,Bertha Pauligin katu 2,0,0401
5,Iiluodontie 1,1,1504
5,Gustav Pauligin katu 6,0,0900
5,Gustav Pauligin katu 8,0,0905
5,Gustav Pauligin katu 7,0,0900
5,Gustav Pauligin katu 20,0,0905
5,Gustav Pauligin katu 18,0,2301
5,Solvikinkatu 6,0,2301
5,Solvikinkatu 17,0,2301
5,Solvikinkuja 1,0,0905
5,Solvikinkatu 19,0,0900
5,Aurinkotuulenkatu 11,0,0905
5,Aurinkotuulenkatu 14,0,0900
5,Aurinkotuulenkatu 11,0,2301
5,Aurinkotuulenkatu 10,0,0905
5,Aurinkotuulenkatu 8,0,3000
5,Maustetehtaankatu 5,0,0905
5,Maustetehtaankatu 9,0,0900
5,Maustetehtaankatu 3,0,0905
5,Maustetehtaankatu 3,0,0900
5,Maustetehtaankatu 1,0,2301
5,Solvikinkatu 17,0,0905
5,Solvikinkatu 17,0,0905
5,Solvikinkatu 10,0,0905
5,Solvikinkatu 19,0,0905
5,Hellekuja 2,0,0905
5,Hellekuja 2,0,2301
5,Kahvikuja 3,0,0401
5,Jauhajankuja 1,0,1100
5,Jauhajankuja 2,0,1100
5,Kahvipavunkuja 4,0,1600
5,Jauhajankuja 2,0,1100
5,Jauhajankuja 2,0,1100
5,Sumukuja 2,0,0401
5,Mäkikallionkuja 2,0,0401
5,Leikosaarentie 34,0,1501
5,Mäkikallionkuja 2,0,0401
5,Kahvipavunkuja 4,0,1100
5,Jauhajankuja 1,0,1100
5,Gustav Pauligin katu 6,0,1501
5,Jauhajankuja 2,0,1100
5,Kahvipavunkuja 4,0,1100
5,Jauhajankuja 2,0,1100
5,Uutelantie 1,0,2301
5,Uutelantie 1,0,2301
5,Aurinkotuulenkatu 3,0,2301
5,Maustetehtaankatu 5,0,1501
5,Bertha Pauligin katu 2,0,0400
5,Iiluodontie 1,0,1501
5,Iiluodontie 1,0,1500
5,Iiluodontie 1,0,1501
5,Uutelantie 1,0,1700
5,Maustetehtaankatu 9,0,1503
5,Bertha Pauligin katu 6,0,0400
5,Bertha Pauligin katu 2,0,0400
4,Iiluodontie 9,0,0900
4,Iiluodontie 7,0,0900
4,Iiluodontie 1,0,0905
4,Leikosaarentie 26,0,1503
4,Iiluodontie 5,0,1504
4,Kahvikuja 3,0,0400
4,Bertha Pauligin katu 6,0,0400
4,Bertha Pauligin katu 17,0,0401
4,Bertha Pauligin katu 9,0,0400
4,Maustetehtaankatu 3,0,2303
4,Maustetehtaankatu 5,0,2301
4,Maustetehtaankatu 5,0,0905
4,Kauniinilmankuja 3,0,2301
4,Aurinkotuulenkatu 3,0,0905
4,Aurinkotuulenkatu 1,0,0905
4,Aurinkotuulenkatu 3,0,0905
4,Aurinkotuulenkatu 3,0,0905
4,Hellekuja 2,0,0905
4,Hellekuja 1,0,2301
4,Maustetehtaankatu 5,0,0905
4,Maustetehtaankatu 3,0,2301
4,Maustetehtaankatu 3,0,0905
4,Maustetehtaankatu 3,0,0905
4,Svartvikinkuja 1,0,1600
4,Svartvikinkuja 1,1,0400
4,Uutelantie 1,0,2301
4,Uutelantie 1,0,2301
4,Uutelantie 1,0,2301
4,Uutelantie 1,0,0905
4,Uutelantie 1,0,0905
4,Uutelantie 1,0,0401
4,Uutelantie 1,0,0401
4,Uutelantie 1,0,0401
4,Iiluodontie 1,0,1500
4,Iiluodontie 1,0,1504
4,Iiluodontie 1,0,1501 0400
4,Jauhajankuja 2,0,1100
4,Jauhajankuja 2,0,1100
4,Uutelantie 1,1,2301
4,Uutelantie 1,0,0905
4,Uutelantie 1,0,0905
4,Uutelantie 1,0,2301
4,Uutelantie 1,0,0905
4,Urheilukalastajankuja 1,0,2301
4,Aurinkotuulenkatu 10,0,2301
4,Aurinkotuulenkatu 5,0,2301
4,Aurinkotuulenkatu 10,0,0900
4,Aurinkotuulenkatu 5,0,0905
4,Leikosaarentie 32,0,2301
4,Leikosaarentie 25,0,0900
4,Solvikinkatu 2,0,1502
4,Gustav Pauligin katu 7,0,0905
4,Aurinkotuulenkatu 10,0,0905
4,Aurinkotuulenkatu 8,0,0905
4,Hellekuja 1,0,2301
4,Hellekuja 2,0,0905
4,Hellekuja 2,0,0905
4,Aurinkotuulenkatu 3,0,0905
4,Aurinkotuulenkatu 3,0,0905
4,Aurinkotuulenkatu 3,0,0905
4,Aurinkotuulenkatu 8,0,0905
4,Aurinkotuulenkatu 10,0,0905
4,Solvikinkatu 6,0,2301
4,Gustav Pauligin katu 16,0,0905
4,Gustav Pauligin katu 8,0,0905
4,Gustav Pauligin katu 8,0,0905
4,Kahvipavunkuja 4,0,1100
4,Kahvipavunkuja 4,0,1100
4,Jauhajankuja 2,0,1100
4,Sokeritori 4,1,0401
4,Kahvipavunkuja 3,0,1100
4,Jauhajankuja 1,0,1100
4,Jauhajankuja 2,0,1100
4,Jauhajankuja 2,0,1100
4,Jauhajankuja 1,0,1100
4,Hellekuja 2,0,1200
4,Iiluodontie 7,0,2301
4,Jauhajankuja 2,0,1100
4,Kahvipavunkuja 3,0,1100
4,Gustav Pauligin katu 20,0,2303
4,Hellekuja 2,0,1202
