address,coords
-,
A.I. Virtasen aukio 0,60.2056632 24.9626210
Aadolfinkatu 10,60.1869601 24.9549208
Aadolfinkatu 11,63.8395884 23.1247041
Aadolfinkatu 13,63.8397366 23.1252665
Aadolfinkatu 15,63.8399997 23.1252105
Aadolfinkatu 17,63.8402612 23.1251494
Aadolfinkatu 1a,63.8351372 23.1262596
Aadolfinkatu 1b,63.8351372 23.1262596
Aadolfinkatu 2,63.8363011 23.1265518
Aadolfinkatu 3,63.8357338 23.1260838
Aadolfinkatu 4,63.8366206 23.1262715
Aadolfinkatu 5a,63.8384521 23.1255635
Aadolfinkatu 6,63.8369950 23.1262295
Aadolfinkatu 7,60.1869060 24.9564019
Aadolfinkatu 9,60.1869434 24.9560327
Aallonhalkoja 0,60.1811210 24.9788949
Aallonhalkoja 1,60.1822720 24.9792580
Aallonhalkoja 3,60.1822495 24.9794943
Aallonhalkoja 5,60.1822495 24.9794943
Aallonhalkoja 7,60.1822495 24.9794943
Aallonhalkoja 9,60.1822495 24.9794943
Aamuruskontie 12,60.2842176 25.0225684
Aamuruskontie 16,60.2844722 25.0214873
Aamuruskontie 32,60.2854232 25.0182483
Aarholmankuja 2,60.1775955 25.0480092
Aarholmankuja 4,60.1778914 25.0478764
Aarrekuja 1,60.2389874 25.0999854
Aarteenetsijänkuja 1,60.2384016 25.1002051
Aarteenetsijänkuja 2,60.2381007 25.1009046
Aarteenetsijänkuja 6,60.2378930 25.1031386
Aarteenetsijänpolku 0,60.2398536 25.1028706
Aarteenetsijänsilta 0,60.2392408 25.1047272
Aarteenetsijäntie 2,60.2393257 25.1052209
Aarteenetsijäntie 4,60.2393546 25.1027372
Abraham Wetterin tie 11,60.1931430 25.0469931
Abraham Wetterin tie 17,60.1936325 25.0499833
Abraham Wetterin tie 20,60.1931072 25.0463427
Abraham Wetterin tie 6,60.1927078 25.0433977
Abrahaminkatu 1,60.1625990 24.9314073
Abrahaminkatu 10,60.1652702 24.9275124
Abrahaminkatu 11,60.1644341 24.9291446
Abrahaminkatu 13,60.1647000 24.9287701
Abrahaminkatu 15a,60.1649717 24.9283625
Abrahaminkatu 15b,60.1651102 24.9281216
Abrahaminkatu 17,60.1653739 24.9278040
Abrahaminkatu 2,60.1638161 24.9295550
Abrahaminkatu 3,60.1628886 24.9309213
Abrahaminkatu 4,60.1643314 24.9288535
Abrahaminkatu 5,60.1631457 24.9305242
Abrahaminkatu 6,60.1645969 24.9284790
Abrahaminkatu 7,60.1637222 24.9301161
Abrahaminkatu 8,60.1649085 24.9280325
Abrahaminkatu 9,60.1641078 24.9295948
Adolf Lindforsin tie 11,60.2304990 24.8893270
Adolf Lindforsin tie 2,60.2302689 24.8884727
Adolf Lindforsin tie 3,60.2297190 24.8931840
Adolf Lindforsin tie 5,60.2297670 24.8920041
Adolf Lindforsin tie 7,60.2298114 24.8908822
Adolf Lindforsin tie 9,60.2298307 24.8896362
Agnetankuja 1,60.1870621 25.0362713
Agnetankuja 2,60.1872218 25.0364357
Agnetankuja 4,60.1869331 25.0377825
Agricolanaukio 0,
Agricolankatu 1,60.1846614 24.9563921
Agricolankatu 10,60.1839883 24.9505642
Agricolankatu 11,60.1844307 24.9526990
Agricolankatu 13,60.1842992 24.9519590
Agricolankatu 15,60.1849876 24.9506485
Agricolankatu 2,60.1841847 24.9562934
Agricolankatu 4,60.1841568 24.9554504
Agricolankatu 5,60.1843935 24.9548831
Agricolankatu 6,60.1841556 24.9541392
Agricolankatu 6 ,60.1841556 24.9541392
Agricolankatu 7,60.1844262 24.9541676
Agricolankatu 8,60.1840060 24.9523880
Agricolankatu 9,60.1844050 24.9536411
Agricolankuja 1,60.1845243 24.9551103
Agricolankuja 10,60.1854192 24.9540480
Agricolankuja 2,60.1847257 24.9547097
Agricolankuja 4,60.1848379 24.9548191
Agricolankuja 6,60.1849729 24.9538333
Agricolankuja 8,60.1851141 24.9537223
Agricolankuja 9,60.1854089 24.9536882
Agronominkatu 10,60.2333703 25.0352596
Agronominkatu 14,60.2329487 25.0357130
Agronominkatu 2,60.2345106 25.0339705
Agronominkatu 4,60.2342194 25.0349293
Agronominkatu 5,60.2336357 25.0346018
Agronominkatu 6,60.2339001 25.0346940
Agronominkatu 7,60.2329982 25.0346214
Agronominraitti 12,60.2342175 25.0410608
Agronominraitti 16,60.2337600 25.0430092
Agronominraitti 19,60.2336118 25.0428054
Agronominraitti 31,60.2315790 25.0468860
Agronominraitti 6,60.2342262 25.0371224
Agronominraitti 8,60.2343386 25.0381169
Ahdinkuja 10,61.5054649 23.7659545
Ahdinkuja 3,61.5056386 23.7662750
Ahjokuja 1,60.2094282 24.8923878
Ahjokuja 2,60.2093375 24.8919614
Ahjokuja 5,63.8326638 23.0812307
Ahjokuja 6,62.2467039 24.7294093
Ahvenkoskenkuja 1,60.2163932 25.1053890
Ahvenkoskenkuja 3,60.2164551 25.1059202
Aidasmäentie 2,60.2260658 24.9741381
Aidasmäentie 34,60.2300214 24.9756061
Aino Acktén tie 12,60.2252004 24.8924440
Aino Acktén tie 14,60.2245862 24.8913859
Aino Acktén tie 16,60.2234102 24.8909778
Aino Acktén tie 3,60.2252428 24.8938652
Aino Acktén tie 4,60.2251633 24.8966977
Aino Acktén tie 5,60.2250336 24.8928787
Ainonkatu 1,66.5015180 25.7267306
Ainonkatu 3,60.1719503 24.9314449
Ainonkatu 4,60.1719218 24.9314360
Airoparintie 6b,60.2108667 25.1326777
Aitiopaikka 0,60.2240664 25.1341821
Aitiopaikka 1,60.2243086 25.1341044
Aittatie 13,60.2357958 24.8454848
Aittatie 14,60.2353301 24.8450228
Aittatie 5,60.9991240 24.4812157
Ajomiehentie 1,60.2393043 24.8494161
Ajomiehentie 14,60.2385788 24.8492110
Ajomiehentie 16,60.2385697 24.8482945
Ajomiehentie 18,60.2385429 24.8476307
Ajomiehentie 2,60.2388111 24.8515383
Ajomiehentie 20,60.2385122 24.8469417
Ajomiehentie 4,60.2386878 24.8511004
Ajomiehentie 6,60.2386511 24.8506736
Ajomiehentie 8,60.2384771 24.8500466
Ajurinaukio 1,60.2745978 25.0339820
Ajurinaukio 4,60.2747018 25.0341549
Ajurinkuja 4,60.2256475 24.8132816
Akkutie 11,60.2600329 25.0585933
Akkutie 13,60.2602664 25.0584379
Akkutie 17,60.2620125 25.0570086
Akkutie 19,60.2618534 25.0576480
Akkutie 20,60.2610020 25.0567744
Akkutie 26,60.2616746 25.0564410
Akkutie 28,60.2621332 25.0559679
Akkutie 5,60.2592473 25.0595071
Akkutie 7,60.2595730 25.0592220
Akonlahdenkuja 18,
Aku Korhosen tie 2,60.2339421 24.8922571
Aku Korhosen tie 8,60.2340832 24.8955280
Ala-Malmin raitti 1,60.2525151 25.0074225
Ala-Malmin raitti 2,60.2526005 25.0069201
Ala-Malmin tori 2,60.2504155 25.0132262
Ala-Malmin tori 3,60.2507738 25.0134436
Alakivenkuja 1,64.9840670 25.5089557
Alakivenkuja 2,60.2400433 25.0025461
Alakivenkuja 2a,60.2400433 25.0025461
Alakivenkuja 4,
Alakiventie 1,60.2227820 25.0757562
Alakiventie 10,60.2202327 25.0721203
Alakiventie 2,60.2209689 25.0797902
Alakiventie 2a,60.2209689 25.0797902
Alakiventie 3,60.2222908 25.0772404
Alakiventie 4,60.2196805 25.0772220
Alakiventie 5,60.2211789 25.0787185
Alakiventie 6,60.2194765 25.0756586
Alakiventie 8,60.2194327 25.0751367
Alakiventie 9,60.2204032 25.0738718
Alankotie 11,60.4765004 25.0834077
Alankotie 15,60.4768418 25.0821588
Alankotie 19,60.2709845 25.0371370
Albertinkatu 1,60.1596788 24.9400772
Albertinkatu 10,60.1605935 24.9382727
Albertinkatu 11,65.0098863 25.4694088
Albertinkatu 12,60.1609015 24.9378288
Albertinkatu 13,60.1613876 24.9376747
Albertinkatu 14,60.1612011 24.9374034
Albertinkatu 15,60.1614919 24.9376822
Albertinkatu 16,60.1614932 24.9369954
Albertinkatu 17,60.1619924 24.9367476
Albertinkatu 18,60.1617218 24.9366797
Albertinkatu 19,60.1624961 24.9360655
Albertinkatu 2,60.1594562 24.9398813
Albertinkatu 20,60.1618903 24.9364516
Albertinkatu 21,60.1629322 24.9354623
Albertinkatu 22,60.1621282 24.9361631
Albertinkatu 23,60.1633069 24.9349305
Albertinkatu 24,60.1622269 24.9359956
Albertinkatu 25,60.1637799 24.9344120
Albertinkatu 26,60.1623953 24.9357673
Albertinkatu 27a,60.1640897 24.9337797
Albertinkatu 27b,60.1643556 24.9334800
Albertinkatu 29,60.1647794 24.9329896
Albertinkatu 3,60.1597890 24.9399052
Albertinkatu 30a,60.1627881 24.9353421
Albertinkatu 30b,60.1628360 24.9350820
Albertinkatu 31,60.1650979 24.9324138
Albertinkatu 32,60.1636489 24.9340073
Albertinkatu 33,60.1654262 24.9319483
Albertinkatu 34,60.1641807 24.9330806
Albertinkatu 35,60.1657004 24.9315514
Albertinkatu 36,60.1646125 24.9326533
Albertinkatu 38,60.1649954 24.9321182
Albertinkatu 4,60.1597483 24.9394675
Albertinkatu 40,60.1654888 24.9310373
Albertinkatu 42,60.1655954 24.9312593
Albertinkatu 44,60.1659060 24.9307792
Albertinkatu 46,60.1663071 24.9303064
Albertinkatu 5,60.1601333 24.9393646
Albertinkatu 6,60.1600304 24.9390693
Albertinkatu 7,60.1604076 24.9389791
Albertinkatu 8,60.1603047 24.9386840
Albertinkatu 9,60.1606982 24.9385652
Aleksanteri Nevskin katu 1,60.2283023 24.9929591
Aleksanteri Nevskin katu 2,
Aleksanterinkatu 1,60.9831099 25.6514649
Aleksanterinkatu 11,60.1690675 24.9468122
Aleksanterinkatu 12,60.1690372 24.9548466
Aleksanterinkatu 13,60.1689999 24.9459951
Aleksanterinkatu 14,60.1690280 24.9544705
Aleksanterinkatu 15,60.1690531 24.9449559
Aleksanterinkatu 16,60.1690185 24.9540942
Aleksanterinkatu 17,60.1690823 24.9436132
Aleksanterinkatu 19,60.1691110 24.9422576
Aleksanterinkatu 20,60.1689985 24.9532932
Aleksanterinkatu 21,60.1691529 24.9415663
Aleksanterinkatu 22,60.1689861 24.9528048
Aleksanterinkatu 23,61.4991007 23.7685966
Aleksanterinkatu 24,60.9825717 25.6653735
Aleksanterinkatu 26,60.1689605 24.9518077
Aleksanterinkatu 28,60.1689465 24.9512679
Aleksanterinkatu 3,60.9832800 25.6520486
Aleksanterinkatu 32,61.4962294 23.7688263
Aleksanterinkatu 34,60.9813405 25.6690057
Aleksanterinkatu 36a,60.1688866 24.9489248
Aleksanterinkatu 36b,60.1688960 24.9481439
Aleksanterinkatu 38,60.1688650 24.9478980
Aleksanterinkatu 40,60.1688465 24.9471089
Aleksanterinkatu 42,60.1688317 24.9464814
Aleksanterinkatu 44,60.1687657 24.9459469
Aleksanterinkatu 46,60.1688056 24.9451075
Aleksanterinkatu 48,60.1686583 24.9443923
Aleksanterinkatu 5,60.1690985 24.9501496
Aleksanterinkatu 50,60.1686769 24.9435545
Aleksanterinkatu 52,60.1682653 24.9422078
Aleksanterinkatu 6,60.1690428 24.9558518
Aleksanterinkatu 7,60.1692992 24.9490219
Aleksanterinkatu 7b,60.1692992 24.9490219
Aleksanterinkatu 9,60.1690934 24.9481288
Aleksis Kiven katu 1,60.1895262 24.9588033
Aleksis Kiven katu 10a,60.1892395 24.9596182
Aleksis Kiven katu 10b,60.1891493 24.9590788
Aleksis Kiven katu 11,60.1899400 24.9526091
Aleksis Kiven katu 11b,60.1900788 24.9511884
Aleksis Kiven katu 12,60.1892363 24.9584947
Aleksis Kiven katu 13,61.4963599 23.7604916
Aleksis Kiven katu 14,60.1891808 24.9574516
Aleksis Kiven katu 15,61.4958057 23.7606560
Aleksis Kiven katu 16,60.1892319 24.9569928
Aleksis Kiven katu 17,60.1935118 24.9467444
Aleksis Kiven katu 18,61.4990967 23.7593011
Aleksis Kiven katu 19a,60.1915389 24.9478910
Aleksis Kiven katu 19b,60.1914747 24.9480009
Aleksis Kiven katu 2,60.1892852 24.9617382
Aleksis Kiven katu 20,60.1892316 24.9555689
Aleksis Kiven katu 21,60.1930982 24.9436064
Aleksis Kiven katu 22,60.1891715 24.9550073
Aleksis Kiven katu 23,60.1930982 24.9436064
Aleksis Kiven katu 24,60.1892608 24.9543446
Aleksis Kiven katu 25,60.1931097 24.9438173
Aleksis Kiven katu 26,60.1892203 24.9541613
Aleksis Kiven katu 27,60.1934057 24.9431713
Aleksis Kiven katu 28,60.1893307 24.9535551
Aleksis Kiven katu 29,60.1936051 24.9426852
Aleksis Kiven katu 3,60.1897432 24.9576460
Aleksis Kiven katu 31,60.1937804 24.9422650
Aleksis Kiven katu 32,60.1895940 24.9518553
Aleksis Kiven katu 33,60.1940052 24.9417434
Aleksis Kiven katu 34,60.1896226 24.9516363
Aleksis Kiven katu 35,60.1943842 24.9414218
Aleksis Kiven katu 36,60.1898537 24.9509037
Aleksis Kiven katu 37,60.1947347 24.9399944
Aleksis Kiven katu 38,60.1901050 24.9499760
Aleksis Kiven katu 39,60.1949746 24.9394384
Aleksis Kiven katu 4,60.1892437 24.9607040
Aleksis Kiven katu 40,60.1901694 24.9500683
Aleksis Kiven katu 41,60.1953420 24.9385787
Aleksis Kiven katu 43,60.1954023 24.9384241
Aleksis Kiven katu 45,60.1956470 24.9382706
Aleksis Kiven katu 48,60.1914465 24.9469660
Aleksis Kiven katu 5,60.1895218 24.9554359
Aleksis Kiven katu 50,60.1917032 24.9464119
Aleksis Kiven katu 52,60.1920029 24.9456096
Aleksis Kiven katu 54,60.1921297 24.9453489
Aleksis Kiven katu 56,60.1922606 24.9451155
Aleksis Kiven katu 58,60.1924590 24.9445939
Aleksis Kiven katu 6,60.1892419 24.9601780
Aleksis Kiven katu 60,60.1927709 24.9437902
Aleksis Kiven katu 64,60.1931843 24.9427967
Aleksis Kiven katu 66,60.1935197 24.9420406
Aleksis Kiven katu 68,60.1936707 24.9416572
Aleksis Kiven katu 7,60.1895477 24.9544138
Aleksis Kiven katu 70,60.1937558 24.9410667
Aleksis Kiven katu 72,60.1940189 24.9408076
Aleksis Kiven katu 74,60.1942176 24.9403371
Aleksis Kiven katu 76,60.1945398 24.9396685
Aleksis Kiven katu 78,60.1948210 24.9390382
Aleksis Kiven katu 8,60.1892400 24.9596521
Aleksis Kiven katu 80,60.1950095 24.9385252
Aleksis Kiven katu 84,60.1954098 24.9360319
Alhokuja 7,60.2631089 24.9862532
Alhokuja 8,60.2631540 24.9857160
Alkutie 54,60.2367402 24.9277047
Alkutie 69,60.2369305 24.9270569
Alkutie 76,60.2361074 24.9214502
Allastie 5,60.2094705 24.9607418
Alli Tryggin puisto 0,60.1829984 24.9562188
Allotriankuja 3,60.1902549 24.9663750
Allotriankuja 4,60.1905354 24.9655770
Allotriankuja 6,60.1904413 24.9663717
Alppikatu 1,60.1839632 24.9407106
Alppikatu 11,60.1855354 24.9443008
Alppikatu 13,60.1855739 24.9449532
Alppikatu 15,60.1855293 24.9456638
Alppikatu 17,60.1855860 24.9465353
Alppikatu 18,60.1858246 24.9461140
