month,address,is_warning,reason
3,-,0,1500
2,-,0,1300
2,-,0,1300
2,-,0,1300
2,-,0,1300
2,-,0,0100
2,-,0,1300
2,-,0,0100
2,-,0,2900
2,-,0,1300
2,-,0,1300
2,-,0,2100 2500
2,-,0,1300
2,-,0,0100 1200
2,-,0,1300
2,-,0,1400
2,-,0,2400
2,-,0,2900
2,-,0,1300
2,-,0,1500
2,-,0,1300 1400
2,-,0,1300
2,-,0,1300
1,-,0,1300
1,-,0,1300
1,-,0,1700
1,-,0,1700
1,-,0,1700
1,-,0,1700
1,-,0,1300
1,-,0,2100
1,-,0,1800
1,-,0,2700
1,-,0,2700
1,-,0,1300
1,-,0,1500
1,-,0,1300
1,-,0,1300
1,-,0,1300
1,-,0,1300
1,-,0,1300
1,-,0,0300 1500
1,-,0,1500
1,-,0,1500
1,-,0,0300
1,-,0,1300
1,-,0,1300
1,-,0,2000
1,-,0,1300
1,-,0,0100
1,-,0,1500
1,-,0,1500
1,-,0,1500
1,-,0,1500
1,-,0,1300
3,Aadolfinkatu 11,0,0601
3,Aadolfinkatu 11,0,0601
3,Aadolfinkatu 11,0,0601
3,Aadolfinkatu 13,0,0601
3,Aadolfinkatu 13,0,0601
3,Aadolfinkatu 17,0,0601
3,Aadolfinkatu 1b,0,0601
3,Aadolfinkatu 2,0,0601
3,Aadolfinkatu 4,0,0601
3,Aadolfinkatu 5a,0,0601
1,Aadolfinkatu 5a,0,0601
3,Aadolfinkatu 7,0,0601
2,Aadolfinkatu 7,0,0601
3,Aadolfinkatu 9,0,0601
3,Aadolfinkatu 9,0,0601
2,Aadolfinkatu 9,0,0601
3,Aallonhalkoja 5,0,0401 2001
3,Aallonhalkoja 5,0,0401
3,Aallonhalkoja 5,0,0401
3,Aallonhalkoja 5,0,0401
3,Aallonhalkoja 5,0,0401
3,Aallonhalkoja 5,0,0401
3,Aallonhalkoja 5,0,0401
3,Aallonhalkoja 5,0,0401
3,Aallonhalkoja 5,0,0401
3,Aallonhalkoja 5,0,0401
2,Aallonhalkoja 5,0,0401
2,Aallonhalkoja 5,1,0401
2,Aallonhalkoja 5,1,0401
2,Aallonhalkoja 5,0,0401
2,Aallonhalkoja 5,0,0401
2,Aallonhalkoja 5,0,0401
2,Aallonhalkoja 5,1,0401
2,Aallonhalkoja 5,1,0401
2,Aallonhalkoja 5,1,0401
2,Aallonhalkoja 5,1,0401
2,Aallonhalkoja 5,1,0401
2,Aallonhalkoja 5,1,0401
2,Aallonhalkoja 5,1,0401
1,Aallonhalkoja 5,1,0400
1,Aallonhalkoja 5,1,0401
1,Aallonhalkoja 5,1,0400
1,Aallonhalkoja 5,1,0401
1,Aallonhalkoja 5,1,0400
1,Aallonhalkoja 5,1,0400
1,Aallonhalkoja 5,1,0401
1,Aallonhalkoja 5,1,0400
1,Aallonhalkoja 5,1,0401
1,Aallonhalkoja 5,1,0400
1,Aallonhalkoja 5,1,0400
1,Aallonhalkoja 5,1,0401
3,Aallonhalkoja 7,0,0401
3,Aallonhalkoja 7,0,0401
3,Aallonhalkoja 7,0,0401
3,Aallonhalkoja 7,0,0401
3,Aallonhalkoja 7,0,0401
3,Aallonhalkoja 7,0,0401
3,Aallonhalkoja 7,0,0401
3,Aallonhalkoja 7,0,0401
3,Aallonhalkoja 7,0,0401
2,Aallonhalkoja 7,0,0401
2,Aallonhalkoja 7,1,0401
2,Aallonhalkoja 7,1,0401
2,Aallonhalkoja 7,1,0401
1,Aarholmankuja 2,0,0300
1,Aarteenetsijänkuja 1,1,1501
1,Aarteenetsijänkuja 1,1,1501
1,Aarteenetsijänkuja 2,1,1500
2,Aarteenetsijänpolku 0,0,1506
3,Aarteenetsijänsilta 0,0,2713
1,Aarteenetsijänsilta 0,0,0400 2200
1,Aarteenetsijänsilta 0,0,2713
1,Aarteenetsijänsilta 0,0,2713 2200
1,Aarteenetsijänsilta 0,0,2713
3,Aarteenetsijäntie 2,0,1501
3,Aarteenetsijäntie 2,0,1501
3,Aarteenetsijäntie 2,1,1504
1,Aarteenetsijäntie 2,0,1504
1,Aarteenetsijäntie 4,1,0401 1504
1,Aarteenetsijäntie 4,0,0401 1504
3,Abraham Wetterin tie 11,0,1600
3,Abraham Wetterin tie 11,0,1600
3,Abraham Wetterin tie 11,0,0905
3,Abraham Wetterin tie 11,0,1600 2301
2,Abraham Wetterin tie 6,0,1500
1,Abraham Wetterin tie 6,0,1503
1,Abraham Wetterin tie 6,1,1500
1,Abraham Wetterin tie 6,0,1504
1,Abraham Wetterin tie 6,0,1501
3,Abrahaminkatu 1,0,0702
3,Abrahaminkatu 1,0,0702
3,Abrahaminkatu 1,0,1302
3,Abrahaminkatu 1,0,0702
2,Abrahaminkatu 1,0,0702
2,Abrahaminkatu 1,0,0702
2,Abrahaminkatu 1,0,0702
1,Abrahaminkatu 1,0,0702
1,Abrahaminkatu 1,0,0601 2001
1,Abrahaminkatu 1,0,0601
3,Abrahaminkatu 10,0,0101
3,Abrahaminkatu 10,0,0101
3,Abrahaminkatu 10,0,0101
2,Abrahaminkatu 10,0,0101
2,Abrahaminkatu 11,0,0300
2,Abrahaminkatu 11,0,0101
2,Abrahaminkatu 11,0,0100
3,Abrahaminkatu 13,0,0101 1501
2,Abrahaminkatu 13,0,0301 1501
1,Abrahaminkatu 13,0,0301 1501
3,Abrahaminkatu 15a,0,1302
2,Abrahaminkatu 15a,0,0601
3,Abrahaminkatu 15b,0,0601
2,Abrahaminkatu 15b,0,0601
3,Abrahaminkatu 17,0,0601
3,Abrahaminkatu 17,0,0601
2,Abrahaminkatu 17,0,0601
1,Abrahaminkatu 17,0,0601
2,Abrahaminkatu 2,0,0601
3,Abrahaminkatu 4,0,0601 2001
3,Abrahaminkatu 6,0,0601
2,Abrahaminkatu 6,0,0601
2,Abrahaminkatu 6,0,0601
3,Abrahaminkatu 7,0,0601
3,Abrahaminkatu 8,0,1302
3,Abrahaminkatu 8,0,0600
3,Abrahaminkatu 8,0,0600
2,Abrahaminkatu 8,0,0601
3,Abrahaminkatu 9,0,0601
3,Adolf Lindforsin tie 11,0,0401 2200
3,Adolf Lindforsin tie 2,0,0401
1,Adolf Lindforsin tie 2,0,0400
1,Adolf Lindforsin tie 2,0,0401
1,Adolf Lindforsin tie 2,0,0401
1,Adolf Lindforsin tie 2,0,0401 2200
1,Adolf Lindforsin tie 2,0,0401
1,Adolf Lindforsin tie 2,0,0401
2,Adolf Lindforsin tie 9,0,1600
3,Agnetankuja 2,0,0400
1,Agnetankuja 2,0,0401
3,Agricolankatu 1,0,0601
1,Agricolankatu 1,0,0601
1,Agricolankatu 1,0,0601
3,Agricolankatu 11,0,0701
3,Agricolankatu 11,0,0701
2,Agricolankatu 11,0,0601 2001
2,Agricolankatu 11,0,0112
1,Agricolankatu 11,0,0301
2,Agricolankatu 13,0,0701
2,Agricolankatu 13,0,0701
3,Agricolankatu 2,0,0601
2,Agricolankatu 2,0,0601
1,Agricolankatu 2,0,0601
3,Agricolankatu 4,0,0601
3,Agricolankatu 4,0,0601
2,Agricolankatu 5,0,1302
2,Agricolankatu 5,0,1302
1,Agricolankatu 5,0,0701
2,Agricolankatu 7,0,0701
1,Agricolankatu 7,0,0701
1,Agricolankatu 7,0,0601
3,Agricolankatu 9,0,0700
1,Agricolankatu 9,0,0701
1,Agricolankatu 9,0,0701
3,Agricolankuja 2,0,0601
2,Agricolankuja 2,0,0601
3,Agricolankuja 4,0,0601
2,Agricolankuja 8,0,0601
2,Agricolankuja 8,0,0601
3,Agricolankuja 9,0,0601
3,Agronominkatu 10,0,0905
3,Agronominkatu 10,0,0401
3,Agronominkatu 10,0,0400
3,Agronominkatu 10,0,0401
3,Agronominkatu 10,0,0401
3,Agronominkatu 10,0,0401
3,Agronominkatu 10,0,0401
3,Agronominkatu 10,0,0401
2,Agronominkatu 10,0,0401
2,Agronominkatu 10,0,0401
2,Agronominkatu 10,0,0401
1,Agronominkatu 10,0,0905
1,Agronominkatu 10,0,0905
1,Agronominkatu 10,0,0905
1,Agronominkatu 10,0,0905
1,Agronominkatu 10,0,0905
1,Agronominkatu 10,0,0905
1,Agronominkatu 10,0,0401
1,Agronominkatu 10,0,0401
1,Agronominkatu 10,0,0401
1,Agronominkatu 10,0,0401
1,Agronominkatu 10,0,0401
1,Agronominkatu 10,0,0401
1,Agronominraitti 16,1,1503
3,Agronominraitti 19,0,0400
3,Agronominraitti 19,0,0401
1,Agronominraitti 19,0,0400
1,Ahjokuja 5,0,1300
1,Aidasmäentie 2,0,0300
1,Aino Acktén tie 14,0,2500 2501
3,Aino Acktén tie 16,0,2500 2501
3,Aino Acktén tie 16,0,2500 2501
3,Aino Acktén tie 16,0,2500 2501
3,Ainonkatu 1,0,1902 0401
2,Ainonkatu 1,0,2104 0401 1902
2,Ainonkatu 1,0,0601
3,Ainonkatu 3,0,1302
3,Ainonkatu 3,0,1302
3,Ainonkatu 3,0,1302
3,Ainonkatu 4,0,0601
3,Aittatie 14,0,2500 2501
3,Ajomiehentie 1,0,2301 2104
3,Ajomiehentie 1,0,2001 2104
3,Ajomiehentie 1,0,1600
3,Ajurinaukio 1,0,1200
3,Akkutie 13,0,0313
3,Akkutie 19,0,0313
3,Akkutie 5,0,2500 2501 0313
2,Akkutie 5,0,2500 2501 2001
3,Aku Korhosen tie 8,0,0401
2,Alakivenkuja 2,0,0300
2,Alakivenkuja 2,0,0300
1,Alakivenkuja 2a,0,0301
1,Alakiventie 10,0,1700
1,Alakiventie 10,0,1700
3,Alakiventie 2,0,0300
3,Alakiventie 2,0,0300
3,Alakiventie 2,0,0300
3,Alakiventie 2,1,0300
3,Alakiventie 2,0,0300
3,Alakiventie 2,0,0301
3,Alakiventie 2,0,0301
3,Alakiventie 2,0,0301
3,Alakiventie 2,0,0301
3,Alakiventie 2,0,0301
3,Alakiventie 2,0,0301
3,Alakiventie 2,0,0301
3,Alakiventie 2,0,0301
3,Alakiventie 2,0,0301
3,Alakiventie 2,0,0301
3,Alakiventie 2,0,0301
3,Alakiventie 2,0,0301
3,Alakiventie 2,0,0301
3,Alakiventie 2,0,0301
3,Alakiventie 2,0,0301
3,Alakiventie 2,0,0301
3,Alakiventie 2,0,0301
3,Alakiventie 2,0,0301
3,Alakiventie 2,0,0301
3,Alakiventie 2,0,0300
3,Alakiventie 2,0,0300
3,Alakiventie 2,0,0301
3,Alakiventie 2,0,0300
3,Alakiventie 2,0,0301
3,Alakiventie 2,0,0300
3,Alakiventie 2,0,0301
2,Alakiventie 2,0,0300
2,Alakiventie 2,0,0301
2,Alakiventie 2,0,0301
2,Alakiventie 2,0,0300
2,Alakiventie 2,0,0301
2,Alakiventie 2,0,0300
2,Alakiventie 2,0,0301
2,Alakiventie 2,0,0300
2,Alakiventie 2,0,0301
2,Alakiventie 2,0,0301
2,Alakiventie 2,0,0301
2,Alakiventie 2,0,0301
2,Alakiventie 2,0,0301
2,Alakiventie 2,0,0301
2,Alakiventie 2,0,0301 1501
2,Alakiventie 2,0,0301
2,Alakiventie 2,0,0300
2,Alakiventie 2,0,0300
2,Alakiventie 2,0,0301
2,Alakiventie 2,0,0301
2,Alakiventie 2,0,0300
2,Alakiventie 2,0,0301
1,Alakiventie 2,0,0301
1,Alakiventie 2,0,0300
1,Alakiventie 2,0,0301
1,Alakiventie 2,0,0300
1,Alakiventie 2,0,0301
1,Alakiventie 2,0,0300
1,Alakiventie 2,0,0301
1,Alakiventie 2,0,0300
1,Alakiventie 2,0,0301
1,Alakiventie 2,0,0301
1,Alakiventie 2,0,0301
1,Alakiventie 2,0,0301
1,Alakiventie 2,0,0301
1,Alakiventie 2,0,0301
1,Alakiventie 2,0,0301
1,Alakiventie 2,0,0301
1,Alakiventie 2,0,0301
1,Alakiventie 2,0,0301
1,Alakiventie 2,0,0301
1,Alakiventie 2,0,0301
1,Alakiventie 2,0,0301
1,Alakiventie 2,0,0301
1,Alakiventie 2,0,0301
1,Alakiventie 2,0,0301
1,Alakiventie 2,0,0300 2200
1,Alakiventie 2,0,0301
1,Alakiventie 2,0,0301
1,Alakiventie 2,0,0301
1,Alakiventie 2,0,0301
1,Alakiventie 2,0,0300
1,Alakiventie 2,0,0301
1,Alakiventie 2,0,0300
1,Alakiventie 2,0,0301
1,Alakiventie 2,0,0300
1,Alakiventie 2,0,0301
1,Alakiventie 2,0,0300
1,Alakiventie 2,0,0301
1,Alakiventie 2,0,0300
1,Alakiventie 2,0,0301
1,Alakiventie 2,0,0300
2,Alakiventie 2a,0,0301
2,Alakiventie 2a,0,0301
2,Alakiventie 2a,0,0301
3,Alakiventie 3,0,0300
3,Alakiventie 3,0,0300
2,Alakiventie 3,0,0300
2,Alakiventie 3,0,0300
2,Alakiventie 3,0,0300
1,Alakiventie 3,0,0301
1,Alakiventie 3,0,0301
1,Alakiventie 3,0,0300
1,Alakiventie 3,0,0301
1,Alakiventie 5,0,1504 0301
1,Alakiventie 5,0,0301
1,Alakiventie 5,0,0301
1,Alakiventie 9,0,1700
1,Alakiventie 9,0,1700
