month,address,is_warning,reason
5,Maustetehtaankatu 3,0,0905,
5,Gustav Pauligin katu 6,0,0905,
5,Gustav Pauligin katu 8,0,0905,
5,Gustav Pauligin katu 8,1,0905,
5,Gustav Pauligin katu 7,0,0905,
5,Gustav Pauligin katu 7,0,2301,
5,Gustav Pauligin katu 7,0,0905,
5,Gustav Pauligin katu 7,0,0905,
5,Bertha Pauligin katu 6,0,0401,
5,Bertha Pauligin katu 6,0,0401,
5,Bertha Pauligin katu 6,0,0401,
5,Bertha Pauligin katu 6,0,0401,
5,Bertha Pauligin katu 2,0,0401,
5,Bertha Pauligin katu 2,0,0401,
5,Sokeritori (tori tai aukio) 0,0,1501,
5,Kahvikuja 3,1,1501,
5,Bertha Pauligin katu 2,0,0401,
5,Iiluodontie 1,1,1504,
5,Gustav Pauligin katu 6,0,0900,
5,Gustav Pauligin katu 8,0,0905,
5,Maustetehtaankatu 3,0,0905,60.2068217 25.1523538
5,Gustav Pauligin katu 6,0,0905,60.2061414 25.1519060
5,Gustav Pauligin katu 8,0,0905,60.2051683 25.1524226
5,Gustav Pauligin katu 8,1,0905,60.2051683 25.1524226
5,Gustav Pauligin katu 7,0,0905,60.2051561 25.1516459
5,Gustav Pauligin katu 7,0,2301,60.2051561 25.1516459
5,Gustav Pauligin katu 7,0,0905,60.2051561 25.1516459
5,Gustav Pauligin katu 7,0,0905,60.2051561 25.1516459
5,Bertha Pauligin katu 6,0,0401,60.2056557 25.1472394
5,Bertha Pauligin katu 6,0,0401,60.2056557 25.1472394
5,Bertha Pauligin katu 6,0,0401,60.2056557 25.1472394
5,Bertha Pauligin katu 6,0,0401,60.2056557 25.1472394
5,Bertha Pauligin katu 2,0,0401,60.2064521 25.1493705
5,Bertha Pauligin katu 2,0,0401,60.2064521 25.1493705
5,Sokeritori (tori tai aukio) 0,0,1501,
5,Kahvikuja 3,1,1501,60.2062365 25.1466499
5,Bertha Pauligin katu 2,0,0401,60.2064521 25.1493705
5,Iiluodontie 1,1,1504,60.2043247 25.1461316
5,Gustav Pauligin katu 6,0,0900,60.2061414 25.1519060
5,Gustav Pauligin katu 8,0,0905,60.2051683 25.1524226
