month,address,is_warning,reason,coords
5,Maustetehtaankatu 5,0,0905,60.2069077 25.1529666
5,Maustetehtaankatu 3,0,0905,60.2068217 25.1523538
5,Gustav Pauligin katu 6,0,0905,60.2061414 25.1519060
5,Gustav Pauligin katu 8,0,0905,60.2051683 25.1524226
5,Gustav Pauligin katu 8,1,0905,60.2051683 25.1524226
5,Gustav Pauligin katu 7,0,0905,60.2051561 25.1516459
5,Gustav Pauligin katu 7,0,2301,60.2051561 25.1516459
5,Gustav Pauligin katu 7,0,0905,60.2051561 25.1516459
5,Gustav Pauligin katu 7,0,0905,60.2051561 25.1516459
5,Bertha Pauligin katu 6,0,0401,60.2056557 25.1472394
5,Bertha Pauligin katu 6,0,0401,60.2056557 25.1472394
5,Bertha Pauligin katu 6,0,0401,60.2056557 25.1472394
5,Bertha Pauligin katu 6,0,0401,60.2056557 25.1472394
5,Bertha Pauligin katu 2,0,0401,60.2064521 25.1493705
5,Bertha Pauligin katu 2,0,0401,60.2064521 25.1493705
5,Sokeritori (tori tai aukio) 0,0,1501,
5,Kahvikuja 3,1,1501,60.2062365 25.1466499
5,Bertha Pauligin katu 2,0,0401,60.2064521 25.1493705
5,Iiluodontie 1,1,1504,60.2043247 25.1461316
5,Gustav Pauligin katu 6,0,0900,60.2061414 25.1519060
5,Gustav Pauligin katu 8,0,0905,60.2051683 25.1524226
5,Gustav Pauligin katu 7,0,0900,60.2051561 25.1516459
5,Gustav Pauligin katu 20,0,0905,60.2025569 25.1537645
5,Gustav Pauligin katu 18,0,2301,60.2028210 25.1537699
5,Solvikinkatu 6,0,2301,60.2025099 25.1538775
5,Solvikinkatu 17,0,2301,60.2027605 25.1569000
5,Solvikinkuja 1,0,0905,60.2031971 25.1585230
5,Solvikinkatu 19,0,0900,60.2027629 25.1577049
5,Aurinkotuulenkatu 11,0,0905,60.2050213 25.1577220
5,Aurinkotuulenkatu 14,0,0900,60.2051697 25.1580690
5,Aurinkotuulenkatu 11,0,2301,60.2050213 25.1577220
5,Aurinkotuulenkatu 10,0,0905,60.2060437 25.1580733
5,Aurinkotuulenkatu 8,0,3000,60.2065141 25.1591559
5,Maustetehtaankatu 5,0,0905,60.2069077 25.1529666
5,Maustetehtaankatu 9,0,0900,60.2069758 25.1541451
5,Maustetehtaankatu 3,0,0905,60.2068217 25.1523538
5,Maustetehtaankatu 3,0,0900,60.2068217 25.1523538
5,Maustetehtaankatu 1,0,2301,60.2067358 25.1517413
5,Solvikinkatu 17,0,0905,60.2027605 25.1569000
5,Solvikinkatu 17,0,0905,60.2027605 25.1569000
5,Solvikinkatu 10,0,0905,60.2029490 25.1568923
5,Solvikinkatu 19,0,0905,60.2027629 25.1577049
5,Hellekuja 2,0,0905,60.2071329 25.1589241
5,Hellekuja 2,0,2301,60.2071329 25.1589241
5,Kahvikuja 3,0,0401,60.2062365 25.1466499
5,Jauhajankuja 1,0,1100,60.2051964 25.1494568
5,Jauhajankuja 2,0,1100,60.2051964 25.1494568
5,Kahvipavunkuja 4,0,1600,60.2051672 25.1482052
5,Jauhajankuja 2,0,1100,60.2051964 25.1494568
5,Jauhajankuja 2,0,1100,60.2051964 25.1494568
5,Sumukuja 2,0,0401,66.5291067 25.6559494
5,Mäkikallionkuja 2,0,0401,60.2037590 25.1487770
5,Leikosaarentie 34,0,1501,60.2046110 25.1504312
5,Mäkikallionkuja 2,0,0401,60.2037590 25.1487770
5,Kahvipavunkuja 4,0,1100,60.2051672 25.1482052
5,Jauhajankuja 1,0,1100,60.2051964 25.1494568
5,Gustav Pauligin katu 6,0,1501,60.2061414 25.1519060
5,Jauhajankuja 2,0,1100,60.2051964 25.1494568
5,Kahvipavunkuja 4,0,1100,60.2051672 25.1482052
5,Jauhajankuja 2,0,1100,60.2051964 25.1494568
5,Uutelantie 1,0,2301,60.2024323 25.1629944
5,Uutelantie 1,0,2301,60.2024323 25.1629944
5,Aurinkotuulenkatu 3,0,2301,60.2077557 25.1576482
5,Maustetehtaankatu 5,0,1501,60.2069077 25.1529666
5,Bertha Pauligin katu 2,0,0400,60.2064521 25.1493705
5,Iiluodontie 1,0,1501,60.2043247 25.1461316
5,Iiluodontie 1,0,1500,60.2043247 25.1461316
5,Iiluodontie 1,0,1501,60.2043247 25.1461316
5,Uutelantie 1,0,1700,60.2024323 25.1629944
5,Maustetehtaankatu 9,0,1503,60.2069758 25.1541451
5,Bertha Pauligin katu 6,0,0400,60.2056557 25.1472394
5,Bertha Pauligin katu 2,0,0400,60.2064521 25.1493705
4,Iiluodontie 9,0,0900,60.2060880 25.1456771
4,Iiluodontie 7,0,0900,60.2053722 25.1455995
4,Iiluodontie 1,0,0905,60.2043247 25.1461316
4,Leikosaarentie 26,0,1503,60.2040970 25.1462751
4,Iiluodontie 5,0,1504,60.2051013 25.1457362
4,Kahvikuja 3,0,0400,60.2062365 25.1466499
4,Bertha Pauligin katu 6,0,0400,60.2056557 25.1472394
4,Bertha Pauligin katu 17,0,0401,60.2060376 25.1467654
4,Bertha Pauligin katu 9,0,0400,60.2063662 25.1487574
4,Maustetehtaankatu 3,0,2303,60.2068217 25.1523538
4,Maustetehtaankatu 5,0,2301,60.2069077 25.1529666
4,Maustetehtaankatu 5,0,0905,60.2069077 25.1529666
4,Kauniinilmankuja 3,0,2301,60.2079302 25.1588696
4,Aurinkotuulenkatu 3,0,0905,60.2077557 25.1576482
4,Aurinkotuulenkatu 1,0,0905,60.2081649 25.1572614
4,Aurinkotuulenkatu 3,0,0905,60.2077557 25.1576482
4,Aurinkotuulenkatu 3,0,0905,60.2077557 25.1576482
4,Hellekuja 2,0,0905,60.2071329 25.1589241
4,Hellekuja 1,0,2301,60.2069548 25.1588798
4,Maustetehtaankatu 5,0,0905,60.2069077 25.1529666
4,Maustetehtaankatu 3,0,2301,60.2068217 25.1523538
4,Maustetehtaankatu 3,0,0905,60.2068217 25.1523538
4,Maustetehtaankatu 3,0,0905,60.2068217 25.1523538
4,Svartvikinkuja 1,0,1600,60.2044121 25.1581611
4,Svartvikinkuja 1,1,0400,60.2044121 25.1581611
4,Uutelantie 1,0,2301,60.2024323 25.1629944
4,Uutelantie 1,0,2301,60.2024323 25.1629944
4,Uutelantie 1,0,2301,60.2024323 25.1629944
4,Uutelantie 1,0,0905,60.2024323 25.1629944
4,Uutelantie 1,0,0905,60.2024323 25.1629944
4,Uutelantie 1,0,0401,60.2024323 25.1629944
4,Uutelantie 1,0,0401,60.2024323 25.1629944
4,Uutelantie 1,0,0401,60.2024323 25.1629944
4,Iiluodontie 1,0,1500,60.2043247 25.1461316
4,Iiluodontie 1,0,1504,60.2043247 25.1461316
4,Iiluodontie 1,0,1501 0400,60.2043247 25.1461316
4,Jauhajankuja 2,0,1100,60.2051964 25.1494568
4,Jauhajankuja 2,0,1100,60.2051964 25.1494568
4,Uutelantie 1,1,2301,60.2024323 25.1629944
4,Uutelantie 1,0,0905,60.2024323 25.1629944
4,Uutelantie 1,0,0905,60.2024323 25.1629944
4,Uutelantie 1,0,2301,60.2024323 25.1629944
4,Uutelantie 1,0,0905,60.2024323 25.1629944
4,Urheilukalastajankuja 1,0,2301,60.2032265 25.1601305
4,Aurinkotuulenkatu 10,0,2301,60.2060437 25.1580733
4,Aurinkotuulenkatu 5,0,2301,60.2068257 25.1578648
4,Aurinkotuulenkatu 10,0,0900,60.2060437 25.1580733
4,Aurinkotuulenkatu 5,0,0905,60.2068257 25.1578648
4,Leikosaarentie 32,0,2301,60.2044324 25.1483835
4,Leikosaarentie 25,0,0900,60.2043733 25.1504268
4,Solvikinkatu 2,0,1502,60.2018326 25.1510965
4,Gustav Pauligin katu 7,0,0905,60.2051561 25.1516459
4,Aurinkotuulenkatu 10,0,0905,60.2060437 25.1580733
4,Aurinkotuulenkatu 8,0,0905,60.2065141 25.1591559
4,Hellekuja 1,0,2301,60.2069548 25.1588798
4,Hellekuja 2,0,0905,60.2071329 25.1589241
4,Hellekuja 2,0,0905,60.2071329 25.1589241
4,Aurinkotuulenkatu 3,0,0905,60.2077557 25.1576482
4,Aurinkotuulenkatu 3,0,0905,60.2077557 25.1576482
4,Aurinkotuulenkatu 3,0,0905,60.2077557 25.1576482
4,Aurinkotuulenkatu 8,0,0905,60.2065141 25.1591559
4,Aurinkotuulenkatu 10,0,0905,60.2060437 25.1580733
4,Solvikinkatu 6,0,2301,60.2025099 25.1538775
4,Gustav Pauligin katu 16,0,0905,60.2034887 25.1533150
4,Gustav Pauligin katu 8,0,0905,60.2051683 25.1524226
4,Gustav Pauligin katu 8,0,0905,60.2051683 25.1524226
4,Kahvipavunkuja 4,0,1100,60.2051672 25.1482052
4,Kahvipavunkuja 4,0,1100,60.2051672 25.1482052
4,Jauhajankuja 2,0,1100,60.2051964 25.1494568
4,Sokeritori 4,1,0401,
4,Kahvipavunkuja 3,0,1100,60.2054538 25.1507230
4,Jauhajankuja 1,0,1100,60.2051964 25.1494568
4,Jauhajankuja 2,0,1100,60.2051964 25.1494568
4,Jauhajankuja 2,0,1100,60.2051964 25.1494568
4,Jauhajankuja 1,0,1100,60.2051964 25.1494568
4,Hellekuja 2,0,1200,60.2071329 25.1589241
4,Iiluodontie 7,0,2301,60.2053722 25.1455995
4,Jauhajankuja 2,0,1100,60.2051964 25.1494568
4,Kahvipavunkuja 3,0,1100,60.2054538 25.1507230
4,Gustav Pauligin katu 20,0,2303,60.2025569 25.1537645
4,Hellekuja 2,0,1202,60.2071329 25.1589241
4,Jauhajankuja 2,0,1100,60.2051964 25.1494568
4,Jauhajankuja 2,0,1100,60.2051964 25.1494568
4,Kahvipavunkuja 6,0,1100,60.2058716 25.1497257
3,Jauhajankuja 2,0,1100,60.2051964 25.1494568
3,Jauhajankuja 2,0,1100,60.2051964 25.1494568
3,Kahvipavunkuja 10,0,1100,60.2052448 25.1485267
3,Solvikinkatu 2,0,2303,60.2018326 25.1510965
3,Solvikinkatu 2,0,2301,60.2018326 25.1510965
3,Solvikinkatu 5,0,0905,60.2016544 25.1528926
3,Solvikinkatu 5,0,2301,60.2016544 25.1528926
3,Jauhajankuja 2,0,1100,60.2051964 25.1494568
3,Kahvipavunkuja 3,0,1100,60.2054538 25.1507230
3,Kahvipavunkuja 10,0,1100,60.2052448 25.1485267
3,Sokeritori (tori tai aukio) 0,0,0401,
3,Kahvikuja 3,0,0401,60.2062365 25.1466499
3,Kahvipavunkuja 6,0,1100,60.2058716 25.1497257
3,Jauhajankuja 2,0,1100,60.2051964 25.1494568
3,Jauhajankuja 2,0,1100,60.2051964 25.1494568
3,Jauhajankuja 2,0,1100,60.2051964 25.1494568
3,Iiluodonpiha 1,0,0905,60.2036560 25.1461088
3,Iiluodonpiha 2,0,0905,60.2037024 25.1464572
3,Iiluodonpiha 1,0,0905,60.2036560 25.1461088
3,Kahvikatu 1,0,0905,60.2054881 25.1475690
3,Jauhajankuja 2,0,0905,60.2051964 25.1494568
3,Aurinkotuulenkatu 19,0,0905,60.2036757 25.1586992
3,Aurinkotuulenkatu 19,0,0905,60.2036757 25.1586992
3,Aurinkotuulenkatu 3,0,0400 2200,60.2077557 25.1576482
3,Hellekuja 1,0,2301,60.2069548 25.1588798
3,Aurinkotuulenkatu 16,0,2301,60.2048764 25.1589901
3,Aurinkotuulenkatu 16,0,0905,60.2048764 25.1589901
3,Kahvipavunkuja 6,0,1100,60.2058716 25.1497257
3,Sokeritori (tori tai aukio) 0,0,0401,
3,Sokeritori (tori tai aukio) 0,0,0401,
3,Kahvikatu 1,0,0401,60.2054881 25.1475690
3,Kahvikuja 3,1,0401,60.2062365 25.1466499
3,Sokeritori (tori tai aukio) 0,0,0401,
3,Kahvipavunkuja 4,0,1100,60.2051672 25.1482052
3,Kahvikuja 3,0,0401,60.2062365 25.1466499
3,Kahvikuja 3,0,0401,60.2062365 25.1466499
3,Iiluodontie 1,0,1501,60.2043247 25.1461316
3,Jauhajankuja 1,0,1100,60.2051964 25.1494568
3,Vaniljakuja 1a,0,1501,60.2062227 25.1545014
